id,name,description,q_rules,links,labels,url,image_url,notes,stats.average,stats.avgweight,stats.baverage,stats.description,stats.maxplayers,stats.maxplaytime,stats.minplayers,stats.minplaytime,stats.numcomments,stats.numfans,stats.numgeeklists,stats.numhasparts,stats.numowned,stats.numplays,stats.numplays_month,stats.numpreordered,stats.numprevowned,stats.numtrading,stats.numwanting,stats.numwantparts,stats.numwanttobuy,stats.numwanttoplay,stats.numweights,stats.numwish,stats.numwishlistcomments,stats.playmonth,stats.short_description,stats.stddev,stats.usersrated,stats.views,stats.yearpublished
1830-railways-and-robber-barons,1830: Railways & Robber Barons,A classic game of managing railroads and investing wisely.,https://drive.google.com/drive/folders/1__KvhyPXUWEWVm9Zrs4eIognYRe2p5De?usp=drive_link,[],"['Trains', 'economic', 'stock market', '18xx', '80s and 90s Classics']",https://boardgamegeek.com/boardgame/421/1830-railways-and-robber-barons,https://cf.geekdo-images.com/3EmD1SEI5fVpR4rbdkU0AA__opengraph/img/v4E1gL_7IYKoxFt-Ajuk-gZUYM4=/0x0:516x271/fit-in/1200x630/filters:strip_icc()/pic882119.jpg,,7.86541,4.1675,7.20128,"<p><em><strong>1830</strong></em> is one of the most famous <a class="""" href=""/wiki/page/18xx#"">18xx</a> games. One of the things some gamers like about this game is that the game has no 'chance' element. That is to say, if players wished to play two games with the same moves, the outcome would be the same also.</p>

<p>This game takes the basic mechanics from Tresham's <a  href=""/boardgame/1823/1829""   >1829</a>, and adds several new elements. Players are seeking to make the most money by buying and selling stock in various share companies located on eastern United States map. The stock manipulation aspect of the game is widely-regarded as one of the best. The board itself is actually a fairly abstract hexagonal system, with track tiles placed on top of the hexes. Plus each <a class="""" href=""/wiki/page/18xx#"">18xx</a> title adds new and different elements to the game. This game features private rail companies and an extremely vicious, 'robber baron' oriented stock market. A game is finished when the bank runs out of money or one player is forced to declare bankruptcy, and the player with the greatest personal holdings wins.</p>

<p>The 2011 version of <em>1830</em> was published by Mayfair Games in partnership with Lookout Games of Germany. This publication was developed under license from Francis Tresham in co-operation with Bruce Shelley (the original <em>1830</em> developer). This version contains rules and components for Francis Tresham's original classic design, a faster-playing basic game, and new variants from some of the world's best railroad game developers.</p>

",7,360,2,180,1889,440,2948,2,9035,16928,51,33,1288,206,377,5,339,1424,591,1643,291,2025-06,A classic game of managing railroads and investing wisely.,1.60569,5847,1106557,1986
6-nimmt-25-jahre,6 nimmt! 25 Jahre,"Choose sequential cards for rows simultaneously, but avoid adding the 6th card!",https://drive.google.com/drive/folders/1sbypoAQjJuewfT6Yc4I07crAcnwiyHo3?usp=drive_link,[],"['Abstract', 'Card Game', 'Family Game', 'Party Game', 'Strategy Game', '6 Nimmt!', 'Wolfgang Kramer']",https://boardgamegeek.com/boardgame/268586/6-nimmt-25-jahre,https://cf.geekdo-images.com/DFeZsC973xdZ1CKUzmjAUw__opengraph/img/00GRGx2i6BJ7Fh9pTa4u-HPZWdE=/0x255:1141x894/fit-in/1200x630/filters:fill(blur):strip_icc()/pic4496538.jpg,,7.33171,1.2553,6.39233,"<p>In <em><strong>6 nimmt!</strong></em>, you want to score as few points as possible. To play, you shuffle the 104 number cards, lay out four cards face-up to start the four rows, then deal ten cards to each player. Each turn, players simultaneously choose and reveal a card from their hand, then add the cards to the rows, with cards being placed in ascending order based on their number; specifically, each card is placed in the row that ends with the highest number that's below the card's number. When the sixth card is placed in a row, the owner of that card claims the other five cards and the sixth card becomes the first card in a new row.</p>

<p>In addition to a number from 1 to 104, each card has a point value. After finishing ten rounds, players tally their score and see whether the game ends., i.e., whether someone has at least 66 points. When this happens, the player with the fewest points wins!</p>

<p><em>6 nimmt!</em> works with 2-10 players, and the dynamics of gameplay change the more players that you have. One variant for the game has you use 34 cards, 44 cards, 54 cards, etc. (instead of all 104 cards) when you have three, four, five, etc. number of players. This change allows you to know which cards are in play, thereby allowing you to track which cards have been played and (theoretically) make better choices as to which card to play when.</p>

<p><em><strong>6 nimmt! 25 Jahre</strong></em> includes 28 additional cards to be used in a new variant. The game now lasts only two rounds, and at the start of play each player receives three special cards. Just before you have to place your number card in a row, you can choose to play one of your cards, with these cards opening a fifth row, moving a previously placed card to a different row, inserting one card between two others, allowing up to six cards in a row instead of five, blocking a row, replacing the card you played, and more.</p>

<p>After all number cards have been played, players tally their scores, keeping any unplayed special cards, then shuffle the number cards and begin a new round. At the end of the second round, whoever has the fewest points wins.</p>

",10,45,2,45,263,72,95,3,4861,13077,3,,147,18,57,1,,,47,380,50,2024-03,"Choose sequential cards for rows simultaneously, but avoid adding the 6th card!",1.20498,2079,87499,2019
7-wonders-duel,7 Wonders Duel,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,https://drive.google.com/drive/folders/1p_QSwHdP7OXVeic0W3nNm6wxY_kwnQKS?usp=drive_link,[],"['Strategy', 'Card Game', 'Drafting', 'Two Player', 'Duel', 'Tableau Building']",https://boardgamegeek.com/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__opengraph/img/EyT9R-od6g-49iIzr8TeWpTg94g=/0x0:720x378/fit-in/1200x630/filters:strip_icc()/pic2576399.jpg,,8.09551,2.2277,7.97169,"<p>In many ways 7 Wonders Duel resembles its parent game 7 Wonders. Over three ages, players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders. What's different about 7 Wonders Duel is that, as the title suggests, the game is solely for two players.</p>

<p>Players do not draft cards simultaneously from decks of cards, but from a display of face-down and face-up cards arranged at the start of a round. A player can take a card only if it's not covered by any others, so timing comes into play, as it can with bonus moves that allow the player to take a second card immediately. As in the original game, each acquired card can be built, discarded for coins, or used to construct a wonder. Each player also starts with four wonder cards, and the construction of a wonder provides its owner with a special ability. Only seven wonders can be built, though, so one player will end up short.</p>

<p>Players can purchase resources at any time from the bank, or they can gain cards during the game that provide them with resources for future building; as they are acquired, the cost for those resources increases for the opponent, representing the owner's dominance in this area.</p>

<p>You can win 7 Wonders Duel in one of three ways: each time you acquire a military card, you advance the military marker toward your opponent's capital (also giving you a bonus at certain positions). If you reach the opponent's capital, you win the game immediately. Or if you acquire six of seven different scientific symbols, you achieve scientific dominance and win immediately. If none of these situations occurs, then the player with the most points at the end of the game wins.</p>

",2,30,2,30,12173,5084,6803,31,152884,488537,191,,6716,950,924,24,,,2894,10867,1430,2024-03,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,1.1932,92107,3193622,2015
a-feast-for-odin,A Feast for Odin,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",https://drive.google.com/drive/folders/1gSuVXUqiaJT-h936nfX6yZsI4fFf8UaX?usp=drive_link,[],"['Uwe Rosenberg', 'Worker Placement', 'economic', 'farming', 'puzzle']",https://boardgamegeek.com/boardgame/177736/a-feast-for-odin,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__opengraph/img/oWiMXxv1v_fowwx4_qe3LeOuhXE=/0x0:527x277/fit-in/1200x630/filters:strip_icc()/pic3146943.png,,8.16483,3.8609,7.94215,"<p><em><strong>A Feast for Odin</strong></em> is a saga in the form of a board game. You are reliving the cultural achievements, mercantile expeditions, and pillages of those tribes we know as <em>Viking</em> today &mdash; a term that was used quite differently towards the end of the first millennium.</p>

<p>When the northerners went out for a raid, they used to say they headed out for a <em>viking</em>. Their Scandinavian ancestors, however, were much more than just pirates. They were explorers and founders of states. Leif Eriksson is said to be the first European in America, long before Columbus.<br />
In what is known today as Normandy, the intruders were not called Vikings but <em>Normans</em>. One of them is the famous William the Conqueror who invaded England in 1066. He managed to do what the king of Norway failed to do only a few years prior: conquer the Throne of England. The reason the people of these times became such strong seafarers was their unfortunate agricultural situation: crop shortfalls caused great distress.</p>

<p>In this game, you will raid and explore new territories. You will also engage in the day-to-day activity of collecting goods with which to achieve a financially secure position in society. In the end, the player whose possessions bear the greatest value will be declared the winner.</p>

<p><em>--gameplay description from <a  href=""/thread/1680023/story-boards-hot-take-on-a-feast-for-odin""   >@StoryBoardGamer&#039;s review</a>:</em><br />
A Feast for Odin is a points-driven game, with a plethora of pathways to victory, with a range of risks balanced against rewards. A significant portion of this is your central hall, which has a whopping -86 points of squares and a major part of your game is attempting to cover these up with various tiles. Likewise, long halls and island colonies can also offer large rewards, but they will have penalties of their own.</p>

<p>Each year follows a familiar pattern of preparation, worker placement, and then meeting the requirements of your feast. The main phase of each year is a worker placement affair. You start with a selection of Vikings, and a large action board with a whopping 61 different options to choose from. Each of these will be arranged from left to right in one of four columns. Each column requires an additional Viking to activate, but they are proportionally more powerful.</p>

<p>At the end of each round, you will need to fill a feast table with food, alternating between plants and vegetable matter. You will also have a chance to lay the valuable green and blue tiles into your main hall. The configuration of these tiles must follow certain requirements, but your main goal is to both cover up a line of coin icons to increase your income, while otherwise encircling certain printed icons to generate those.</p>

<p>You will build your engine over time, following an alternating pattern of outward expansion and hunting against development and cultivation. It all comes down to how much you&rsquo;re willing to take on at any one time, and what risks you&rsquo;re willing to set yourself up with for their rewards.</p>

<p>UPC 681706716909</p>

",4,120,1,30,4773,2674,4853,16,40846,120706,523,122,3390,285,1981,16,3887,9538,1114,15631,1564,2025-06,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",1.37995,31202,3413430,2016
a-feast-for-odin-the-norwegians,A Feast for Odin: The Norwegians,"The Norwegians raid, trade and settle new lands from the Orkneys to the Irish Sea.",https://drive.google.com/file/d/1VVXTtftCnxGorfQmuioZ0A6XGNtFVZNM/view?usp=drive_link,[],"['Uwe Rosenberg', 'Worker Placement', 'Resource Management', 'Tile Laying', 'Modern', 'Expansion']",https://boardgamegeek.com/boardgame/216788/a-feast-for-odin-the-norwegians,https://cf.geekdo-images.com/hzgTiNWQ7Vh3Ywr9OhXvtQ__opengraph/img/3PztjHQWGNslLEMA4qH_Asi5k14=/0x0:1323x695/fit-in/1200x630/filters:strip_icc()/pic4278032.jpg,,0,0,0,"<p>The first large expansion for <em>A Feast for Odin</em>, <em><strong>The Norwegians</strong></em>, includes a viking-sized number of additions to the game, adding new strategies and puzzle-tiles.</p>

<p>Renewed action board: The largest of the new additions, made of three double-sided pieces that can be flipped to show different actions based on the number of players, opening up new action paths and increasing the chances of players getting in each others' way. It contains new opportunities like butchering, elk-hunting, fishing, and thievery, along with changes for some old actions. It's now easier, for example, to play an animal strategy, because you can now get two of the same animals in one action. There is also a new fifth column with (better) actions that require only one viking. For example, you can now forge a grey special tile with a sword value of 8 or less by using an ore and only one viking! Another totally new 1-viking action is to do a &quot;small emigration&quot; using a whaling boat, which covers one space at the banquet table instead of two but is worth 7VP and costs no silver to do so. And as a bonus, you can send two vikings to this column instead of one to play an occupation card in addition to the action. The catch is, once you use an action from the fifth column, you can't place any more vikings for the rest of this round.</p>

<p>New puzzle-tiles: 2x5 rectangle (horse/pregnant horse/leather/vadmal) and 5 spaces in a &quot;U&quot; shape (herbs/pig/antlers/tools). The red versions of these tiles feature two new animals, horses (worth 6VP) and pigs (worth 1VP and breed every round as opposed to every other round) respectively, adding yet more paths for an animal strategy. There are also five new grey special tiles such as a pan, a hauberk and an anvil, most of which can be forged with ore. Also included is a third goods box to hold all the new tiles.</p>

<p>Four new exploration boards: Islands on the frontside (Isle of Man, Isle of Skye, Islay, Outer Hebrides) with Irish coastal viking-settlements on the backside (Waterford, Wexford, Cork, Limerick), where people from Norway came to stay through the winter, to trade at, and to settle nearby. Also included are renewed versions of the four exploration boards from the base game, with updated iconography and some with adjusted VPs.</p>

<p>New buildings: Also totally new is the idea of a random start-building. Everybody gets one of the six double-sided &quot;artisan shed&quot; boards, and whenever a player could build a shed during the game, they may instead build the front or backside of their artisan shed. Just like the stonehouse and longhouse, the artisan sheds offer new spaces to place orange and red tiles to earn bonus goods, silver and VP, and many of them require specific tiles to be placed in specific spaces. So everybody has another different start-opportunity - like the occupation cards.</p>

<p>VP tokens: Another new option is that, whenever a player would play an occupation card into the game, the player may instead discard the card for a VP token, which are worth 4, 3 or 2VP at the end of the game. A nice little competitive element, as there are a limited number of the 4VP and 3VP tokens.</p>

<p>Other stuff: The expansion also includes another mountain strip, more two-silver coins and more beans/mead and oil/runestone tiles.</p>

<p>The expansion includes another almanac about the new game-elements and their viking-history. But again it was written by Gernot K&ouml;pke as a &quot;historical-science&quot;-journalist and learned local newspaper editor and the main elements will be published on BGG at <a  href=""/thread/2023534/expansions-almanac-almanach-fur-erweiterungen""   >Expansions-Almanac / Almanach für Erweiterungen</a>.</p>

<p><em>&mdash;adapted from the description from the designer</em></p>

",4,120,1,30,913,301,370,1,14603,5558,63,78,657,65,273,3,424,497,110,1264,226,2025-06,"The Norwegians raid, trade and settle new lands from the Orkneys to the Irish Sea.",1.03847,4164,513364,2018
agricola,Agricola,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,https://drive.google.com/drive/folders/17pe7qgPulaRdWORiWklyOnzzuWFt2zRQ?usp=drive_link,[],"['Uwe Rosenberg', 'Farming', 'Worker Placement', 'Euro', 'Resource Management', '2000s Eurogames']",https://boardgamegeek.com/boardgame/31260/agricola,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__opengraph/img/rvKKi9Q9wT7zmX0LD-G393R1zJo=/0x0:1024x538/fit-in/1200x630/filters:strip_icc()/pic831744.jpg,,7.86483,3.6346,7.73523,"<p><em>Description originally from BoardgameNews</em></p>

<p>In <strong>Agricola</strong>, you're a farmer in a wooden shack with your spouse and little else. At first, on a turn, your family gets to take only two actions, one for you and one for your spouse, as might be found among all the possibilities on a farm: plowing fields; collecting materials; building fences, and so on. There are numerous choices available, and while the game progresses you'll have more and more, as each round a new action card is flipped over, offering one more possible action. You might think about having kids in order to get more work accomplished but first you'll need to expand your house to make room--and what are you going to feed all the little rug rats?</p>

<p>The game supports many levels of complexity, mainly through the distribution of cards which represent <em>Minor Improvements</em> and <em>Occupations</em>. In the beginner's version (called the Family Variant in the U.S. release) these cards are not used at all. For advanced play, the U.S. release includes three levels of both types of cards; Basic (E-deck), Interactive (I-deck), and Complex (K-deck), and the rulebook encourages players to experiment with the various decks and mixtures thereof. Aftermarket decks such as the Z-Deck and the L-Deck also exist. Each player starts with a hand of 7 Occupation cards (of more than 160 total) and 7 Minor Improvement cards (of more than 140 total) that he/she may use during the game if they fit into his/her strategy.</p>

<p><strong>Agricola</strong> is a turn-based game, and the problem to be overcome is that each available action can be taken by only one player each round so it's important to be careful about your choices.  There are countless strategies, some of which depend on your hand of cards.  Sometimes it's a good choice to stay on course, and sometimes it is better to react to your opponents' actions...</p>

",5,150,1,30,14039,6797,15924,57,88141,285914,396,151,9916,1426,1142,54,3044,7339,6406,12692,1181,2025-06,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,1.54853,74920,5982151,2007
agricola-special-edition,Agricola: Special Edition,"Brings the farming classic to life with new art, refined usability, and expansions.",,[],"['Uwe Rosenberg', 'Farming', 'Worker Placement', 'Euro', 'Resource Management']",https://boardgamegeek.com/boardgame/440147/agricola-special-edition,https://cf.geekdo-images.com/DIL7ADO4EUn51S8N9HF1jA__opengraph/img/ZyhDUdEwiLW73RoiTQ4itIlfJIE=/0x210:3189x1885/fit-in/1200x630/filters:strip_icc()/pic8735480.jpg,,0,0,0,"<p>The cycle of farming is eternal&mdash;plowing, sowing, harvesting, and ensuring that every mouth is fed. Life on the farm is simple yet demanding, requiring both strategy and resilience to thrive.</p>

<p><em><strong>Agricola: Special Edition</strong></em> revitalizes Uwe Rosenberg&rsquo;s iconic board game, bringing it to life with new artwork and refined usability. This special edition includes all previously released expansions and introduces <em>Irrigations</em>, a brand-new expansion that challenges players to manage water resources to sustain and grow their farms.</p>

<p><em>&mdash;description from the publisher</em></p>

",6,120,1,45,117,156,17,0,91,13,6,544,5,1,18,0,143,99,0,434,24,2025-06,"Brings the farming classic to life with new art, refined usability, and expansions.",4.18983,156,94003,2026
air-land-sea-spies-lies-supplies,"Air, Land, & Sea: Spies, Lies, & Supplies",Submit orders on three more fronts to outwit your opponent.,https://drive.google.com/drive/folders/1BbXCgIBaHFqFQ-Qznlv58xqH0t5F3CJd?usp=drive_link,[],"['Two Player', 'Card Game', 'Hand Management', 'Area Control', 'Bluffing', 'War Game']",https://boardgamegeek.com/boardgame/358981/air-land-sea-spies-lies-supplies,https://cf.geekdo-images.com/RJYxDsVWrwKmCWt25XjewA__opengraph/img/SBs6nIr_uJXbZu9o23dXFBaI6G8=/0x156:630x673/fit-in/1200x630/filters:fill(blur):strip_icc()/pic6271807.jpg,,7.86915,1.9167,6.12902,"<p>Standalone -- Just play with the 3 new theaters provided: Intelligence, Diplomacy, Economics</p>

<p>Mix w/ Base Game -- Play with any combination of 3 theaters from either box: ex. Intelligence, Air, Land</p>

<p>Epic Mode -- Play with any combination of 5 theaters from either box: ex. Intelligence, Diplomacy, Economics, Land, Sea</p>

",4,30,2,15,207,92,68,2,3051,1496,56,,80,38,94,1,,,12,670,70,2024-02,Submit orders on three more fronts to outwit your opponent.,1.13147,750,81122,2022
anomia,Anomia,Card matching with words on the tip of your tongue...,https://drive.google.com/drive/folders/18iKYzWQSsiyPBsGmKBKuzHKUjkz-c2Tg?usp=drive_link,[],"['Party Game', 'Quick', 'Word Game', 'Modern Family Boardgames']",https://boardgamegeek.com/boardgame/67877/anomia,https://cf.geekdo-images.com/OvOpd-Lhl7t3h9fF_qi6lQ__opengraph/img/b4tzFBPPu88LBeOKaCkOmGU608w=/0x187:2245x1365/fit-in/1200x630/filters:strip_icc()/pic2527529.jpg,,6.69136,1.0414,6.28083,"<p><em><strong>Anomia</strong></em> plays off the fact that our minds are positively brimming with all sorts of random information: things to eat, pop songs, websites, etc... Sure, under normal circumstances, it's easy to give an example of a frozen food or a dog breed, but you'll find that your brain works a little differently under pressure!</p>

<p>To play, draw and reveal a card from the center pile. Does the symbol on your card match one on another player's card? If so, you must quickly face-off with the other player by giving an example of the person, place, or thing on their card before they can do the same for yours. If you blurt out a correct answer first, you win their card and the drawing continues.</p>

<p>Sounds simple, right? Wrong! Wild cards allow non-matching symbols to match, increasing the number of things to which you must pay attention. Cascading face-offs can occur when you hand over a lost card, thereby revealing a new top card on your play pile.</p>

",6,30,3,30,1084,128,723,1,9083,17333,53,,593,144,83,3,,,145,942,116,2024-04,Card matching with words on the tip of your tongue...,1.43907,4826,444377,2010
arcs,Arcs,Lead a spacefaring society through an epic saga.,https://drive.google.com/drive/folders/1dp9-NSZ0SAHlcedUPwA37MUcYnfuaJe7?usp=drive_link,[],"['Heavy', 'Cole Wehrle', 'Space', 'War Game', 'Trick Taking', 'Leder Games', 'Modern Heavy Strategy Boardgames']",https://boardgamegeek.com/boardgame/359871/arcs,https://cf.geekdo-images.com/XWImAu_3RK61wbzcKboVdA__opengraph/img/JcSFSlDW_8Y2I9feSTa0jWnQXc0=/0x175:1000x700/fit-in/1200x630/filters:strip_icc()/pic8145530.png,,8.09726,3.4004,7.52417,"<p><em><strong>Arcs</strong></em> is a sharp, tactical space opera game, for 2&ndash;4 players, set in a dark yet silly universe. Players represent officials from a distant, decaying and neglectful Empire who are now free to vie for dominance whether through battle, gathering scarce resources or diplomatic intrigue. Ready yourself for dramatic twists and turns as you launch into this galactic struggle.</p>

<p>A deck of cards in 4 suits with ranks from 1-7 (2-6 for fewer than 4 players) defines the action selection system. These cards are played in a trick-taking adjacent system to select actions, take the initiative and declare Ambitions. The 3 declared Ambitions are what will score in that deal. Timing is everything. Bad hands must be mitigated by careful card play and benefitting from other players' card play.</p>

<p>Battles are resolved quickly with the attacker choosing their level of risk. The defenders must be prepared with adequate defensive ships and cards in their tableau.</p>

<p>Each game contains a hundred wooden ships and agents, 18 custom engraved dice, a beautiful six-panel board, and tons of cards with over 60 pieces of unique art. The base game may be played without the optional Leaders and Lore cards (for an easier teach) or with them for a richer, fuller and asymmetric game. It is also the core of the campaign game (requiring the Blighted Reach Expansion), which provides an epic, more thematic experience.</p>

",4,120,2,60,2032,3304,990,7,17377,28852,300,1120,474,117,690,5,2655,5758,507,8995,534,2025-06,Lead a spacefaring society through an epic saga.,1.75779,10340,3049406,2024
